,iso_code,region_group,income_group,country,year,category,sex,comp_upsec_v2_m
16892,COD,Sub-Saharan Africa,Low income,D. R. Congo,2010,Sex,Male,0.172199994
17043,COD,Sub-Saharan Africa,Low income,D. R. Congo,2010,Total,,0.138799995
17195,COG,Sub-Saharan Africa,Lower middle income,Congo,2005,Sex,Female,0.052099999
17196,COG,Sub-Saharan Africa,Lower middle income,Congo,2005,Sex,Male,0.113200001
17277,COG,Sub-Saharan Africa,Lower middle income,Congo,2005,Total,,0.077100001
17311,COL,Latin America and the Caribbean,Upper middle income,Colombia,2000,Sex,Female,0.547100008
17312,COL,Latin America and the Caribbean,Upper middle income,Colombia,2000,Sex,Male,0.447699994
17323,COL,Latin America and the Caribbean,Upper middle income,Colombia,2000,Total,,0.50059998
17364,COL,Latin America and the Caribbean,Upper middle income,Colombia,2005,Sex,Female,0.60589999
17365,COL,Latin America and the Caribbean,Upper middle income,Colombia,2005,Sex,Male,0.531700015
17446,COL,Latin America and the Caribbean,Upper middle income,Colombia,2005,Total,,0.570800006
17529,COL,Latin America and the Caribbean,Upper middle income,Colombia,2010,Sex,Female,0.684000015
17530,COL,Latin America and the Caribbean,Upper middle income,Colombia,2010,Sex,Male,0.616400003
17617,COL,Latin America and the Caribbean,Upper middle income,Colombia,2010,Total,,0.651600003
17704,COL,Latin America and the Caribbean,Upper middle income,Colombia,2015,Sex,Female,0.769200027
17705,COL,Latin America and the Caribbean,Upper middle income,Colombia,2015,Sex,Male,0.678600013
17794,COL,Latin America and the Caribbean,Upper middle income,Colombia,2015,Total,,0.726599991
17870,COM,Sub-Saharan Africa,Lower middle income,Comoros,2012,Sex,Female,0.326299995
17871,COM,Sub-Saharan Africa,Lower middle income,Comoros,2012,Sex,Male,0.263399988
17920,COM,Sub-Saharan Africa,Lower middle income,Comoros,2012,Total,,0.298200011
17974,COM,Sub-Saharan Africa,Lower middle income,Comoros,2000,Sex,Female,0.0381
17975,COM,Sub-Saharan Africa,Lower middle income,Comoros,2000,Sex,Male,0.082500003
18003,COM,Sub-Saharan Africa,Lower middle income,Comoros,2000,Total,,0.053199999
18066,CRI,Latin America and the Caribbean,Upper middle income,Costa Rica,2011,Sex,Female,0.557500005
18067,CRI,Latin America and the Caribbean,Upper middle income,Costa Rica,2011,Sex,Male,0.373199999
18162,CRI,Latin America and the Caribbean,Upper middle income,Costa Rica,2011,Total,,0.464100003
18213,CUB,Latin America and the Caribbean,Upper middle income,Cuba,2006,Sex,Female,0.768599987
18214,CUB,Latin America and the Caribbean,Upper middle income,Cuba,2006,Sex,Male,0.639400005
18223,CUB,Latin America and the Caribbean,Upper middle income,Cuba,2006,Total,,0.698899984
18234,CUB,Latin America and the Caribbean,Upper middle income,Cuba,2010,Sex,Female,0.797100008
18235,CUB,Latin America and the Caribbean,Upper middle income,Cuba,2010,Sex,Male,0.777400017
18244,CUB,Latin America and the Caribbean,Upper middle income,Cuba,2010,Total,,0.78670001
18255,CUB,Latin America and the Caribbean,Upper middle income,Cuba,2014,Sex,Female,0.864300013
18256,CUB,Latin America and the Caribbean,Upper middle income,Cuba,2014,Sex,Male,0.856299996
18265,CUB,Latin America and the Caribbean,Upper middle income,Cuba,2014,Total,,0.860499978
18278,DJI,Sub-Saharan Africa,Lower middle income,Djibouti,2006,Sex,Female,0.146200001
18279,DJI,Sub-Saharan Africa,Lower middle income,Djibouti,2006,Sex,Male,0.275599986
18292,DJI,Sub-Saharan Africa,Lower middle income,Djibouti,2006,Total,,0.207200006
18477,DOM,Latin America and the Caribbean,Upper middle income,Dominican Rep.,2007,Sex,Female,0.535399973
18478,DOM,Latin America and the Caribbean,Upper middle income,Dominican Rep.,2007,Sex,Male,0.390500009
18837,DOM,Latin America and the Caribbean,Upper middle income,Dominican Rep.,2007,Total,,0.465799987
19055,DOM,Latin America and the Caribbean,Upper middle income,Dominican Rep.,2013,Sex,Female,0.632600009
19056,DOM,Latin America and the Caribbean,Upper middle income,Dominican Rep.,2013,Sex,Male,0.467999995
19179,DOM,Latin America and the Caribbean,Upper middle income,Dominican Rep.,2013,Total,,0.547500014
19268,DOM,Latin America and the Caribbean,Upper middle income,Dominican Rep.,2000,Sex,Female,
19269,DOM,Latin America and the Caribbean,Upper middle income,Dominican Rep.,2000,Sex,Male,
19302,DOM,Latin America and the Caribbean,Upper middle income,Dominican Rep.,2000,Total,,
19386,DOM,Latin America and the Caribbean,Upper middle income,Dominican Rep.,2014,Sex,Female,0.66079998
19387,DOM,Latin America and the Caribbean,Upper middle income,Dominican Rep.,2014,Sex,Male,0.483599991
19522,DOM,Latin America and the Caribbean,Upper middle income,Dominican Rep.,2014,Total,,0.574299991
19590,EGY,Northern Africa and Western Asia,Lower middle income,Egypt,2000,Sex,Female,0.536499977
19591,EGY,Northern Africa and Western Asia,Lower middle income,Egypt,2000,Sex,Male,0.618700027
19604,EGY,Northern Africa and Western Asia,Lower middle income,Egypt,2000,Total,,0.578100026
19652,EGY,Northern Africa and Western Asia,Lower middle income,Egypt,2005,Sex,Female,0.275599986
19653,EGY,Northern Africa and Western Asia,Lower middle income,Egypt,2005,Sex,Male,0.303499997
19737,EGY,Northern Africa and Western Asia,Lower middle income,Egypt,2005,Total,,0.289299995
19816,EGY,Northern Africa and Western Asia,Lower middle income,Egypt,2014,Sex,Female,0.409500003
19817,EGY,Northern Africa and Western Asia,Lower middle income,Egypt,2014,Sex,Male,0.42809999
19896,EGY,Northern Africa and Western Asia,Lower middle income,Egypt,2014,Total,,0.418900013
19980,ETH,Sub-Saharan Africa,Low income,Ethiopia,2000,Sex,Female,0.045899998
19981,ETH,Sub-Saharan Africa,Low income,Ethiopia,2000,Sex,Male,0.051899999
20026,ETH,Sub-Saharan Africa,Low income,Ethiopia,2000,Total,,0.048700001
20124,ETH,Sub-Saharan Africa,Low income,Ethiopia,2005,Sex,Female,0.086099997
20125,ETH,Sub-Saharan Africa,Low income,Ethiopia,2005,Sex,Male,0.086300001
20278,ETH,Sub-Saharan Africa,Low income,Ethiopia,2005,Total,,0.086199999
20450,ETH,Sub-Saharan Africa,Low income,Ethiopia,2011,Sex,Female,0.118900001
20451,ETH,Sub-Saharan Africa,Low income,Ethiopia,2011,Sex,Male,0.124399997
20635,ETH,Sub-Saharan Africa,Low income,Ethiopia,2011,Total,,0.1215
20727,ETH,Sub-Saharan Africa,Low income,Ethiopia,2016,Sex,Female,0.143299997
20728,ETH,Sub-Saharan Africa,Low income,Ethiopia,2016,Sex,Male,0.116899997
20739,ETH,Sub-Saharan Africa,Low income,Ethiopia,2016,Total,,0.131999999
20793,GAB,Sub-Saharan Africa,Upper middle income,Gabon,2000,Sex,Female,0.059
20794,GAB,Sub-Saharan Africa,Upper middle income,Gabon,2000,Sex,Male,0.078100003
20831,GAB,Sub-Saharan Africa,Upper middle income,Gabon,2000,Total,,0.068499997
20914,GAB,Sub-Saharan Africa,Upper middle income,Gabon,2012,Sex,Female,0.138799995
20915,GAB,Sub-Saharan Africa,Upper middle income,Gabon,2012,Sex,Male,0.137500003
21045,GAB,Sub-Saharan Africa,Upper middle income,Gabon,2012,Total,,0.138300002
21184,GEO,Northern Africa and Western Asia,Upper middle income,Georgia,2005,Sex,Female,0.789399981
21185,GEO,Northern Africa and Western Asia,Upper middle income,Georgia,2005,Sex,Male,0.782800019
21297,GEO,Northern Africa and Western Asia,Upper middle income,Georgia,2005,Total,,0.78609997
21433,GHA,Sub-Saharan Africa,Lower middle income,Ghana,2003,Sex,Female,0.046399999
21434,GHA,Sub-Saharan Africa,Lower middle income,Ghana,2003,Sex,Male,0.043099999
21559,GHA,Sub-Saharan Africa,Lower middle income,Ghana,2003,Total,,0.0451
21698,GHA,Sub-Saharan Africa,Lower middle income,Ghana,2014,Sex,Female,0.412200004
21699,GHA,Sub-Saharan Africa,Lower middle income,Ghana,2014,Sex,Male,0.488900006
21843,GHA,Sub-Saharan Africa,Lower middle income,Ghana,2014,Total,,0.448500007
21985,GHA,Sub-Saharan Africa,Lower middle income,Ghana,2006,Sex,Female,0.052499998
21986,GHA,Sub-Saharan Africa,Lower middle income,Ghana,2006,Sex,Male,0.082500003
22109,GHA,Sub-Saharan Africa,Lower middle income,Ghana,2006,Total,,0.065800004
22261,GHA,Sub-Saharan Africa,Lower middle income,Ghana,2011,Sex,Female,0.1215
22262,GHA,Sub-Saharan Africa,Lower middle income,Ghana,2011,Sex,Male,0.130899996
22416,GHA,Sub-Saharan Africa,Lower middle income,Ghana,2011,Total,,0.1259
22498,GIN,Sub-Saharan Africa,Lower middle income,Guinea,2005,Sex,Female,0.024
22499,GIN,Sub-Saharan Africa,Lower middle income,Guinea,2005,Sex,Male,0.082199998
22510,GIN,Sub-Saharan Africa,Lower middle income,Guinea,2005,Total,,0.049800001
22583,GIN,Sub-Saharan Africa,Lower middle income,Guinea,2012,Sex,Female,0.098300003
22584,GIN,Sub-Saharan Africa,Lower middle income,Guinea,2012,Sex,Male,0.230399996
22694,GIN,Sub-Saharan Africa,Lower middle income,Guinea,2012,Total,,0.152799994
22804,GMB,Sub-Saharan Africa,Low income,Gambia,2013,Sex,Female,0.278499991
